sweep	phase	mean_R2	mean_Rg2	ratio_R2_Rg2	energy_total	accepted_moves
50120	production	3.97017188E+03	6.17210362E+02	6.43244529E+00	0.00000000E+00	1258
50121	production	3.91101342E+03	6.16915038E+02	6.33963054E+00	0.00000000E+00	1274
50122	production	3.91178719E+03	6.16487829E+02	6.34527886E+00	0.00000000E+00	1279
50123	production	3.87938631E+03	6.17147889E+02	6.28599137E+00	0.00000000E+00	1290
50124	production	3.92051035E+03	6.17139382E+02	6.35271458E+00	0.00000000E+00	1222
50125	production	3.89252546E+03	6.15978720E+02	6.31925314E+00	0.00000000E+00	1259
50126	production	3.90342566E+03	6.16392101E+02	6.33269903E+00	0.00000000E+00	1303
50127	production	3.85183619E+03	6.15972874E+02	6.25325620E+00	0.00000000E+00	1270
50128	production	3.84109751E+03	6.16177684E+02	6.23374978E+00	0.00000000E+00	1254
50129	production	3.84667040E+03	6.15269759E+02	6.25200629E+00	0.00000000E+00	1306
50130	production	3.87332103E+03	6.15545415E+02	6.29250245E+00	0.00000000E+00	1325
50131	production	3.86658074E+03	6.15462757E+02	6.28239597E+00	0.00000000E+00	1247
50132	production	3.88668995E+03	6.14181580E+02	6.32824245E+00	0.00000000E+00	1236
50133	production	3.90537809E+03	6.14739613E+02	6.35289806E+00	0.00000000E+00	1276
50134	production	3.93258519E+03	6.15440251E+02	6.38987325E+00	0.00000000E+00	1292
50135	production	3.96921902E+03	6.16190838E+02	6.44154177E+00	0.00000000E+00	1244
50136	production	3.93724804E+03	6.15606688E+02	6.39572005E+00	0.00000000E+00	1302
50137	production	3.92326300E+03	6.15714304E+02	6.37188867E+00	0.00000000E+00	1304
50138	production	3.89040679E+03	6.15914819E+02	6.31646887E+00	0.00000000E+00	1276
50139	production	3.88887576E+03	6.14973301E+02	6.32364976E+00	0.00000000E+00	1285
50140	production	3.88342506E+03	6.15078820E+02	6.31370311E+00	0.00000000E+00	1305
50141	production	3.86712515E+03	6.14924427E+02	6.28878117E+00	0.00000000E+00	1323
